titulo,calle,latitud_df1,longitud_df1,paradas_cercanas_df2,id,name,address,activate,no_available,total_bases,dock_bikes,free_bases,reservations_count,geometry.type,latitud_df2,longitud_df2,metros_distancia
Instalación Deportiva  Básica Embalse de San Juan,CALLE EMBALSE DE SAN JUAN 1,40.36264285659688,-3.5981484314802064,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,5207.956220867087
Instalación Deportiva Básica Alto del Retiro,CALLE ALTO DEL RETIRO 13 c/v calle Antonio Gades,40.36751469466709,-3.588264644913803,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,5360.872026991302
Instalación Deportiva Básica Avenida de Cerro Milano,AVENIDA CERRO MILANO 1,40.36861899124304,-3.618356801446381,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,3788.5296010160855
Instalación Deportiva Básica Avenida de las Suertes,AVENIDA avenida de las Suertes ,40.370297266524084,-3.6120673755658,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,3849.4720525186913
Instalación Deportiva Básica Avenida del Ensanche de Vallecas,AVENIDA ENSANCHE DE VALLECAS 11,40.370297266524084,-3.6120673755658,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,3849.4720525186913
Instalación Deportiva Básica Camino de la Suerte,CAMINO SUERTE 25,40.375813783817236,-3.617327043456161,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,3097.010243415933
Instalación Deportiva Básica Circuito de Automodelismo,CALLE NAVAMURES 2,40.3728517892704,-3.6267051095385274,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,3131.641857087883
Instalación Deportiva Básica Colonia Vilda,CALLE PUENTELARRA 1 c/v Avda. Sta. Eugenia,40.38154336396018,-3.6105817910016826,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,2917.9877275881504
Instalación Deportiva Básica Eduardo Chillida,CALLE EDUARDO CHILLIDA 1,40.36302244550467,-3.585074019427532,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,5901.935249913295
Instalación Deportiva Básica La Unión,"CALLE ENRIQUE GARCIA ALVAREZ 58 c/v Diego Olivera Victorio, 1",40.383448627578446,-3.6148637823176353,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,2515.855828067186
Instalación Deportiva Básica Nuestra Señora de la Torre,TRAVESIA PUERTO DE REINOSA 2,40.37850528372228,-3.6160557738839376,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,2893.6247196174418
Instalación Deportiva Básica P.A.R. Castrillo de Aza,AVENIDA SANTA EUGENIA 1,40.38626820789469,-3.6086007213101885,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,2702.07795711807
Instalación Deportiva Básica Parkour,AVENIDA LA GAVIA 39,40.37009915307182,-3.6134620847270176,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,3811.7680493345574
Instalación Deportiva Básica Parque Real de Arganda,CALLE REAL DE ARGANDA 45,40.37949103344629,-3.6150999353765094,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,2848.291305024256
Instalación Deportiva Básica Parque Santa Eugenia,CALLE ZAZUAR 12,40.38131130575197,-3.608459149580722,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,3063.7586633189167
Instalación Deportiva Básica Parque Villa de Vallecas,CALLE PUERTO DE PORZUNA 50,40.37277996162931,-3.6253783281885656,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,3165.2456182395317
Instalación Deportiva Básica Parque del Cementerio,CALLE MONTES DE BARBANZA 15,40.37710310380217,-3.6185063391325323,223,229,221 - Pavones,Calle Hacienda de Pavones nº 342,1,0,24,16,6,0,Point,40.400368,-3.634587,2923.540785773195
